"id","account_id","object_type_id","title","description","is_suspended","period","delta","dates_range","deleted_at","created_at","updated_at"
"1","1","6","ТО Автономные светофоры ежемесячное",NULL,"1","30","4","[[]]","2022-10-17 10:20:37","2022-01-23 16:05:49","2022-10-17 10:20:37"
"2","1","6","ТО Автономные светофоры полугодовое",NULL,"1","182","14","[[]]","2022-10-17 10:20:41","2022-01-23 16:05:50","2022-10-17 10:20:41"
"3","1","5","ТО Автономные осветительные системы (АОС) полугодовое",NULL,"1","182","14","[[]]","2022-10-17 10:20:44","2022-01-23 16:05:50","2022-10-17 10:20:44"
"4","1","5","ТО Автономные осветительные системы (АОС) ежемесячное",NULL,"1","30","4","[[]]","2022-10-17 10:20:47","2022-01-23 16:05:50","2022-10-17 10:20:47"
"5","1","1","ТО Автоматические дорожные метеорологические станции ежемесячное",NULL,"1","30","4","[[]]","2022-10-17 10:20:52","2022-01-23 16:05:55","2022-10-17 10:20:52"
"6","1","1","ТО Автоматические дорожные метеорологические станции полугодовое",NULL,"1","182","14","[[]]","2022-10-17 10:20:55","2022-01-23 16:05:56","2022-10-17 10:20:55"
"7","1","1","СС Автоматические дорожные метеорологические станции ежемесячное",NULL,"1","30","4","[[]]","2022-10-17 10:20:57","2022-01-23 16:05:56","2022-10-17 10:20:57"
"8","1","1","СС Автоматические дорожные метеорологические станции летнее",NULL,"1","30","4","[[""2021-04-01"", ""2021-10-31""]]","2022-10-17 10:21:00","2022-01-23 16:05:57","2022-10-17 10:21:00"
"9","1","1","СС Автоматические дорожные метеорологические станции зимнее",NULL,"1","14","2","[[""2021-11-01"", ""2022-03-31""]]","2022-10-17 10:21:02","2022-01-23 16:05:57","2022-10-17 10:21:02"
"10","1","1","ТО Автоматические дорожные метеорологические станции летнее",NULL,"1","30","4","[[""2021-04-01"", ""2021-10-31""]]","2022-10-17 10:21:05","2022-01-23 16:05:57","2022-10-17 10:21:05"
"11","1","1","ТО Автоматические дорожные метеорологические станции зимнее",NULL,"1","14","2","[[""2021-11-01"", ""2022-03-31""]]","2022-10-17 10:21:08","2022-01-23 16:05:57","2022-10-17 10:21:08"
"12","1","2","ТО Пункты видеоконтроля (ПВК) ежемесячное",NULL,"1","30","4","[[]]","2022-10-17 10:21:11","2022-01-23 16:05:57","2022-10-17 10:21:11"
"13","1","2","ТО Пункты видеоконтроля (ПВК) полугодовое",NULL,"1","182","14","[[]]","2022-10-17 10:21:13","2022-01-23 16:05:59","2022-10-17 10:21:13"
"14","1","2","ТО Пункты видеоконтроля (ПВК) летнее",NULL,"1","30","4","[[""2021-04-01"", ""2021-10-31""]]","2022-10-17 10:21:16","2022-01-23 16:05:59","2022-10-17 10:21:16"
"15","1","2","ТО Пункты видеоконтроля (ПВК) зимнее",NULL,"1","14","2","[[""2021-11-01"", ""2022-03-31""]]","2022-10-17 10:21:19","2022-01-23 16:05:59","2022-10-17 10:21:19"
"16","1","2","СС Пункты видеоконтроля (ПВК) зимнее",NULL,"1","14","2","[[""2021-11-01"", ""2022-03-31""]]","2022-10-17 10:21:22","2022-01-23 16:05:59","2022-10-17 10:21:22"
"17","1","2","СС Пункты видеоконтроля (ПВК) летнее",NULL,"1","30","4","[[""2021-04-01"", ""2021-10-31""]]","2022-10-17 10:21:25","2022-01-23 16:05:59","2022-10-17 10:21:25"
"18","1","3","ТО Пункты учета интенсивности движения ежемесячное",NULL,"1","30","4","[[]]","2022-10-17 10:21:28","2022-01-23 16:05:59","2022-10-17 10:21:28"
"19","1","3","ТО Пункты учета интенсивности движения полугодовое",NULL,"1","182","14","[[]]","2022-10-17 10:21:31","2022-01-23 16:06:01","2022-10-17 10:21:31"
"20","1","3","СС Пункты учета интенсивности движения полугодовое",NULL,"1","182","14","[[]]","2022-10-17 10:21:34","2022-01-23 16:06:01","2022-10-17 10:21:34"
"21","1","4","ТО Дорожные информационные табло ежедневно",NULL,"1","1","0","[[]]","2022-10-17 10:21:36","2022-01-23 16:06:01","2022-10-17 10:21:36"
"22","1","4","ТО Дорожные информационные табло ежемесячно",NULL,"1","30","4","[[]]","2022-10-17 10:21:39","2022-01-23 16:06:01","2022-10-17 10:21:39"
"23","1","4","ТО Дорожные информационные табло три раза в год",NULL,"1","122","10","[[]]","2022-10-17 10:21:42","2022-01-23 16:06:01","2022-10-17 10:21:42"
"24","1","4","ТО Дорожные информационные табло один раз в год",NULL,"1","365","21","[[]]","2022-10-17 10:21:45","2022-01-23 16:06:01","2022-10-17 10:21:45"
